下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
11,世界互联网大会,11月7日,T,国防军工,11,2,9,0,0.181818,0.818182,0.0,-0.007436
11,世界互联网大会,11月7日,T,家电,11,8,3,0,0.727273,0.272727,0.0,0.00418
11,世界互联网大会,11月7日,T,建筑,11,3,8,0,0.272727,0.727273,0.0,-0.002569
11,世界互联网大会,11月7日,T,煤炭,11,3,8,0,0.272727,0.727273,0.0,0.00092
11,世界互联网大会,11月7日,T+1,医药,11,3,8,0,0.272727,0.727273,0.0,0.00042
11,世界互联网大会,11月7日,T+1,煤炭,11,8,3,0,0.727273,0.272727,0.0,0.008264
11,世界互联网大会,11月7日,T+1,石油石化,11,8,3,0,0.727273,0.272727,0.0,0.005983
11,世界互联网大会,11月7日,T+5,农林牧渔,11,9,2,0,0.818182,0.181818,0.0,0.018557
11,世界互联网大会,11月7日,T+5,商贸零售,11,9,2,0,0.818182,0.181818,0.0,0.011658
11,世界互联网大会,11月7日,T+5,基础化工,11,8,3,0,0.727273,0.272727,0.0,0.003861
11,世界互联网大会,11月7日,T+5,家电,11,8,3,0,0.727273,0.272727,0.0,0.01641
11,世界互联网大会,11月7日,T+5,建材,11,8,3,0,0.727273,0.272727,0.0,0.004952
11,世界互联网大会,11月7日,T+5,建筑,11,8,3,0,0.727273,0.272727,0.0,0.002884
11,世界互联网大会,11月7日,T+5,房地产,11,8,3,0,0.727273,0.272727,0.0,0.012529
11,世界互联网大会,11月7日,T+5,汽车,11,8,3,0,0.727273,0.272727,0.0,0.005733
11,世界互联网大会,11月7日,T+5,电力设备及新能源,11,3,8,0,0.272727,0.727273,0.0,0.001133
11,世界互联网大会,11月7日,T+5,纺织服装,11,8,3,0,0.727273,0.272727,0.0,0.012187
11,世界互联网大会,11月7日,T+5,综合,11,8,3,0,0.727273,0.272727,0.0,0.016993
11,世界互联网大会,11月7日,T+5,轻工制造,11,8,3,0,0.727273,0.272727,0.0,0.01075
11,世界互联网大会,11月7日,T+5,非银行金融,11,8,3,0,0.727273,0.272727,0.0,0.009854
11,世界互联网大会,11月7日,T-1,农林牧渔,11,8,3,0,0.727273,0.272727,0.0,0.003109
11,世界互联网大会,11月7日,T-1,家电,11,2,9,0,0.181818,0.818182,0.0,-0.004517
11,世界互联网大会,11月7日,T-1,石油石化,11,8,3,0,0.727273,0.272727,0.0,-0.000524
11,世界互联网大会,11月7日,T-1,计算机,11,9,2,0,0.818182,0.181818,0.0,0.006228
11,世界互联网大会,11月7日,T-1,银行,11,0,11,0,0.0,1.0,0.0,-0.006275
11,世界互联网大会,11月7日,T-1,非银行金融,11,1,10,0,0.090909,0.909091,0.0,-0.007735
11,世界互联网大会,11月7日,T-5,房地产,11,8,3,0,0.727273,0.272727,0.0,0.006962
11,世界互联网大会,11月7日,T-5,银行,11,3,8,0,0.272727,0.727273,0.0,-0.000214
11,世界互联网大会,11月7日,T-5,食品饮料,11,9,2,0,0.818182,0.181818,0.0,0.00913
11,中国国际进口博览会,11月5日,T,交通运输,8,6,2,0,0.75,0.25,0.0,0.003023
11,中国国际进口博览会,11月5日,T,传媒,8,6,2,0,0.75,0.25,0.0,0.016797
11,中国国际进口博览会,11月5日,T,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.005634
11,中国国际进口博览会,11月5日,T,商贸零售,8,7,1,0,0.875,0.125,0.0,0.009948
11,中国国际进口博览会,11月5日,T,基础化工,8,7,1,0,0.875,0.125,0.0,0.007848
11,中国国际进口博览会,11月5日,T,家电,8,7,1,0,0.875,0.125,0.0,0.004895
11,中国国际进口博览会,11月5日,T,建材,8,7,1,0,0.875,0.125,0.0,0.006405
11,中国国际进口博览会,11月5日,T,建筑,8,7,1,0,0.875,0.125,0.0,0.007392
11,中国国际进口博览会,11月5日,T,房地产,8,6,2,0,0.75,0.25,0.0,0.011983
11,中国国际进口博览会,11月5日,T,有色金属,8,6,2,0,0.75,0.25,0.0,0.010047
11,中国国际进口博览会,11月5日,T,机械,8,6,2,0,0.75,0.25,0.0,0.00907
11,中国国际进口博览会,11月5日,T,电力及公用事业,8,6,2,0,0.75,0.25,0.0,0.000782
11,中国国际进口博览会,11月5日,T,电力设备及新能源,8,6,2,0,0.75,0.25,0.0,0.015255
11,中国国际进口博览会,11月5日,T,纺织服装,8,7,1,0,0.875,0.125,0.0,0.006964
11,中国国际进口博览会,11月5日,T,综合,8,6,2,0,0.75,0.25,0.0,0.011397
11,中国国际进口博览会,11月5日,T,计算机,8,6,2,0,0.75,0.25,0.0,0.014165
11,中国国际进口博览会,11月5日,T,轻工制造,8,8,0,0,1.0,0.0,0.0,0.011044
11,中国国际进口博览会,11月5日,T,通信,8,6,2,0,0.75,0.25,0.0,0.011609
11,中国国际进口博览会,11月5日,T,钢铁,8,6,2,0,0.75,0.25,0.0,0.005658
11,中国国际进口博览会,11月5日,T,食品饮料,8,6,2,0,0.75,0.25,0.0,0.002126
11,中国国际进口博览会,11月5日,T+1,交通运输,8,2,6,0,0.25,0.75,0.0,-0.002385
11,中国国际进口博览会,11月5日,T+1,医药,8,2,6,0,0.25,0.75,0.0,-0.007894
11,中国国际进口博览会,11月5日,T+1,家电,8,2,6,0,0.25,0.75,0.0,0.000377
11,中国国际进口博览会,11月5日,T+1,建材,8,2,6,0,0.25,0.75,0.0,-0.001061
11,中国国际进口博览会,11月5日,T+1,房地产,8,6,2,0,0.75,0.25,0.0,0.004784
11,中国国际进口博览会,11月5日,T+1,消费者服务,8,2,6,0,0.25,0.75,0.0,-0.006355
11,中国国际进口博览会,11月5日,T+1,电力及公用事业,8,2,6,0,0.25,0.75,0.0,-0.000531
11,中国国际进口博览会,11月5日,T+1,电力设备及新能源,8,2,6,0,0.25,0.75,0.0,-0.000131
11,中国国际进口博览会,11月5日,T+1,石油石化,8,6,2,0,0.75,0.25,0.0,0.003632
11,中国国际进口博览会,11月5日,T+1,钢铁,8,6,2,0,0.75,0.25,0.0,0.00687
11,中国国际进口博览会,11月5日,T+1,银行,8,1,7,0,0.125,0.875,0.0,-0.003226
11,中国国际进口博览会,11月5日,T+1,食品饮料,8,1,7,0,0.125,0.875,0.0,-0.007071
11,中国国际进口博览会,11月5日,T+5,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.00417
11,中国国际进口博览会,11月5日,T+5,家电,8,6,2,0,0.75,0.25,0.0,0.005227
11,中国国际进口博览会,11月5日,T+5,有色金属,8,1,7,0,0.125,0.875,0.0,-0.010009
11,中国国际进口博览会,11月5日,T+5,煤炭,8,2,6,0,0.25,0.75,0.0,-0.007132
11,中国国际进口博览会,11月5日,T+5,纺织服装,8,6,2,0,0.75,0.25,0.0,0.00962
11,中国国际进口博览会,11月5日,T+5,轻工制造,8,7,1,0,0.875,0.125,0.0,0.018476
11,中国国际进口博览会,11月5日,T-1,交通运输,8,6,2,0,0.75,0.25,0.0,0.011788
11,中国国际进口博览会,11月5日,T-1,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.006363
11,中国国际进口博览会,11月5日,T-1,医药,8,7,1,0,0.875,0.125,0.0,0.009272
11,中国国际进口博览会,11月5日,T-1,国防军工,8,6,2,0,0.75,0.25,0.0,0.010123
11,中国国际进口博览会,11月5日,T-1,基础化工,8,7,1,0,0.875,0.125,0.0,0.010643
11,中国国际进口博览会,11月5日,T-1,家电,8,7,1,0,0.875,0.125,0.0,0.016914
11,中国国际进口博览会,11月5日,T-1,建材,8,7,1,0,0.875,0.125,0.0,0.013063
11,中国国际进口博览会,11月5日,T-1,建筑,8,6,2,0,0.75,0.25,0.0,0.006361
11,中国国际进口博览会,11月5日,T-1,房地产,8,2,6,0,0.25,0.75,0.0,0.002697
11,中国国际进口博览会,11月5日,T-1,有色金属,8,7,1,0,0.875,0.125,0.0,0.006581
11,中国国际进口博览会,11月5日,T-1,机械,8,7,1,0,0.875,0.125,0.0,0.012137
11,中国国际进口博览会,11月5日,T-1,汽车,8,7,1,0,0.875,0.125,0.0,0.022044
11,中国国际进口博览会,11月5日,T-1,消费者服务,8,7,1,0,0.875,0.125,0.0,0.022756
11,中国国际进口博览会,11月5日,T-1,电力及公用事业,8,7,1,0,0.875,0.125,0.0,0.007593
11,中国国际进口博览会,11月5日,T-1,电力设备及新能源,8,6,2,0,0.75,0.25,0.0,0.014804
11,中国国际进口博览会,11月5日,T-1,电子,8,7,1,0,0.875,0.125,0.0,0.015649
11,中国国际进口博览会,11月5日,T-1,石油石化,8,6,2,0,0.75,0.25,0.0,0.005585
11,中国国际进口博览会,11月5日,T-1,纺织服装,8,6,2,0,0.75,0.25,0.0,0.008165
11,中国国际进口博览会,11月5日,T-1,计算机,8,6,2,0,0.75,0.25,0.0,0.011473
11,中国国际进口博览会,11月5日,T-1,轻工制造,8,7,1,0,0.875,0.125,0.0,0.01208
11,中国国际进口博览会,11月5日,T-1,通信,8,6,2,0,0.75,0.25,0.0,0.012537
11,中国国际进口博览会,11月5日,T-1,银行,8,6,2,0,0.75,0.25,0.0,0.010856
11,中国国际进口博览会,11月5日,T-1,食品饮料,8,7,1,0,0.875,0.125,0.0,0.020935
11,中国国际进口博览会,11月5日,T-5,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.007977
11,中国国际进口博览会,11月5日,T-5,医药,8,6,2,0,0.75,0.25,0.0,0.002777
11,中国国际进口博览会,11月5日,T-5,商贸零售,8,2,6,0,0.25,0.75,0.0,-0.0031
11,中国国际进口博览会,11月5日,T-5,建筑,8,2,6,0,0.25,0.75,0.0,-0.006554
11,中国国际进口博览会,11月5日,T-5,房地产,8,2,6,0,0.25,0.75,0.0,-0.011375
11,中国国际进口博览会,11月5日,T-5,煤炭,8,1,7,0,0.125,0.875,0.0,-0.015545
11,中国国际进口博览会,11月5日,T-5,石油石化,8,2,6,0,0.25,0.75,0.0,-0.00989
11,中国国际进口博览会,11月5日,T-5,纺织服装,8,1,7,0,0.125,0.875,0.0,-0.005966
11,中国国际进口博览会,11月5日,T-5,银行,8,1,7,0,0.125,0.875,0.0,-0.009624
11,高交会,11月14日,T,医药,11,8,3,0,0.727273,0.272727,0.0,0.002201
11,高交会,11月14日,T,国防军工,11,2,9,0,0.181818,0.818182,0.0,-0.002731
11,高交会,11月14日,T+1,农林牧渔,11,1,10,0,0.090909,0.909091,0.0,-0.00716
11,高交会,11月14日,T+1,建筑,11,3,8,0,0.272727,0.727273,0.0,-0.002954
11,高交会,11月14日,T+1,有色金属,11,3,8,0,0.272727,0.727273,0.0,-0.005161
11,高交会,11月14日,T+1,电力设备及新能源,11,3,8,0,0.272727,0.727273,0.0,-0.008439
11,高交会,11月14日,T+5,房地产,11,8,3,0,0.727273,0.272727,0.0,0.005101
11,高交会,11月14日,T+5,电力设备及新能源,11,2,9,0,0.181818,0.818182,0.0,-0.017621
11,高交会,11月14日,T+5,电子,11,2,9,0,0.181818,0.818182,0.0,-0.014208
11,高交会,11月14日,T+5,银行,11,8,3,0,0.727273,0.272727,0.0,0.008413
11,高交会,11月14日,T+5,非银行金融,11,3,8,0,0.272727,0.727273,0.0,-0.010206
11,高交会,11月14日,T-1,医药,11,8,3,0,0.727273,0.272727,0.0,0.003722
11,高交会,11月14日,T-1,有色金属,11,2,9,0,0.181818,0.818182,0.0,-0.009602
11,高交会,11月14日,T-1,煤炭,11,3,8,0,0.272727,0.727273,0.0,-0.010381
11,高交会,11月14日,T-1,电力及公用事业,11,2,9,0,0.181818,0.818182,0.0,-0.003207
11,高交会,11月14日,T-1,电力设备及新能源,11,3,8,0,0.272727,0.727273,0.0,-0.005879
11,高交会,11月14日,T-1,石油石化,11,3,8,0,0.272727,0.727273,0.0,-0.005694
11,高交会,11月14日,T-1,钢铁,11,2,9,0,0.181818,0.818182,0.0,-0.008422
11,高交会,11月14日,T-1,食品饮料,11,8,3,0,0.727273,0.272727,0.0,0.004198
11,高交会,11月14日,T-5,传媒,11,3,8,0,0.272727,0.727273,0.0,-0.000166
11,高交会,11月14日,T-5,电力及公用事业,11,3,8,0,0.272727,0.727273,0.0,-0.002804
11,高交会,11月14日,T-5,电力设备及新能源,11,3,8,0,0.272727,0.727273,0.0,-0.004259
11,高交会,11月14日,T-5,银行,11,3,8,0,0.272727,0.727273,0.0,0.002085
11,高交会,11月14日,T-5,非银行金融,11,1,10,0,0.090909,0.909091,0.0,-0.007066
